Negative_siebert,Neutral_siebert,Positive_siebert,dom_tweet_sent_siebert,total_tweet_count,search_query,coviddomain
0.42,0.0,0.58,Positive,872.0,asteroids,0
0.55,0.0,0.45,Negative,469.0,christain,0
0.64,0.0,0.36,Negative,427.0,coronavirus task force,1
0.53,0.0,0.47,Negative,857.0,angel moroni,0
0.69,0.0,0.31,Negative,852.0,australians,0
0.67,0.0,0.33,Negative,3.0,chuck-e-cheese,0
0.7,0.0,0.3,Negative,660.0,blacks,0
0.41,0.0,0.59,Positive,781.0,alabama,0
0.56,0.0,0.44,Negative,451.0,stephen colbert,0
0.67,0.0,0.33,Negative,884.0,megyn kelly,0
0.54,0.0,0.46,Negative,885.0,pharmacist,0
0.81,0.0,0.19,Negative,393.0,killer virus,1
0.41,0.0,0.59,Positive,394.0,tbd,0
0.36,0.0,0.64,Positive,950.0,farm parents,0
0.79,0.0,0.21,Negative,456.0,governor chris christie,0
0.31,0.0,0.69,Positive,955.0,engineering students,0
0.65,0.0,0.35,Negative,896.0,work emails,0
0.33,0.0,0.67,Positive,782.0,ice cream,0
0.75,0.0,0.25,Negative,432.0,lybia,0
0.49,0.0,0.51,Positive,949.0,us,0
0.63,0.0,0.37,Negative,775.0,tedros adhanom ghebreyesus,0
0.13,0.0,0.87,Positive,405.0,true detective,0
0.64,0.0,0.36,Negative,847.0,corona test,1
0.35,0.0,0.65,Positive,191.0,road,0
0.8,0.0,0.2,Negative,320.0,american democrat,0
0.36,0.0,0.64,Positive,433.0,scarlett johnson,0
0.77,0.0,0.23,Negative,382.0,border wall,0
0.41,0.0,0.59,Positive,292.0,wood,0
0.65,0.0,0.35,Negative,405.0,trump card,0
0.45,0.0,0.55,Positive,417.0,hubei,0
0.37,0.0,0.63,Positive,762.0,library,0
0.45,0.0,0.55,Positive,737.0,burger,0
0.46,0.0,0.54,Positive,969.0,working at home,0
0.68,0.0,0.32,Negative,876.0,corona testing,1
0.6,0.0,0.4,Negative,874.0,anthony fauci,0
0.74,0.0,0.26,Negative,867.0,public health experts,0
0.32,0.0,0.68,Positive,321.0,nsfw,0
0.8,0.0,0.2,Negative,232.0,political party,0
0.92,0.0,0.08,Negative,747.0,trump virus,1
0.89,0.0,0.11,Negative,296.0,white cops,0
0.11,0.0,0.89,Positive,786.0,graduation,0
0.27,0.0,0.73,Positive,633.0,day,0
0.87,0.0,0.13,Negative,713.0,pedophiles,0
0.22,0.0,0.78,Positive,914.0,kelis,0
0.31,0.0,0.69,Positive,416.0,intelligence organization,0
0.67,0.0,0.33,Negative,409.0,jo jorgensen,0
0.67,0.0,0.33,Negative,289.0,india lockdown execution,0
0.7,0.0,0.3,Negative,834.0,delhi people,0
0.63,0.0,0.37,Negative,665.0,admin,0
0.61,0.0,0.39,Negative,902.0,face cover,0
0.58,0.0,0.42,Negative,337.0,latinos,0
0.36,0.0,0.64,Positive,937.0,linda,0
0.76,0.0,0.24,Negative,886.0,unvaccinated children,1
0.51,0.0,0.49,Negative,949.0,purell,0
0.29,0.0,0.71,Positive,21.0,travel influncers,1
0.6,0.0,0.4,Negative,447.0,child,0
0.36,0.0,0.64,Positive,956.0,guerrero street,0
0.37,0.0,0.63,Positive,222.0,steve,0
0.52,0.0,0.48,Negative,781.0,the entire world,0
0.73,0.0,0.27,Negative,819.0,coronavirus meme,1
0.21,0.0,0.79,Positive,434.0,five isl,0
0.37,0.0,0.63,Positive,1195.0,cybersecurity people,0
0.85,0.0,0.15,Negative,33.0,great old party (gop),0
0.29,0.0,0.71,Positive,918.0,margarita,0
0.34,0.0,0.66,Positive,819.0,casino,0
0.62,0.0,0.38,Negative,619.0,activist,0
0.76,0.0,0.24,Negative,561.0,donald trump,0
0.26,0.0,0.74,Positive,900.0,workout,0
0.84,0.0,0.16,Negative,894.0,bureaucrat,0
0.63,0.0,0.37,Negative,746.0,finger,0
0.54,0.0,0.46,Negative,247.0,visa,0
0.61,0.0,0.39,Negative,975.0,inners,0
0.75,0.0,0.25,Negative,177.0,criminal,0
0.59,0.0,0.41,Negative,977.0,villain,1
0.2,0.0,0.8,Positive,439.0,joshua smith,0
0.52,0.0,0.48,Negative,852.0,idaho,0
0.53,0.0,0.47,Negative,60.0,norton antivirus mask,1
0.9,0.0,0.1,Negative,395.0,trumps advisors,0
0.48,0.0,0.52,Positive,923.0,railroad workers,0
0.69,0.0,0.31,Negative,1021.0,world war 3 (ww3),0
0.33,0.0,0.67,Positive,391.0,broccoli,0
0.54,0.0,0.46,Negative,80.0,mr rogers,0
0.74,0.0,0.26,Negative,823.0,grand old party,0
0.24,0.0,0.76,Positive,906.0,chicken chow mein,0
0.39,0.0,0.61,Positive,404.0,elizabeth may,0
0.62,0.0,0.38,Negative,327.0,american banks,0
0.55,0.0,0.45,Negative,764.0,pot,0
0.63,0.0,0.37,Negative,949.0,daylight savings time,0
0.48,0.0,0.52,Positive,812.0,picture,0
0.7,0.0,0.3,Negative,749.0,emails,0
0.53,0.0,0.47,Negative,248.0,straight,0
0.64,0.0,0.36,Negative,928.0,muhyiddin yassin,0
0.65,0.0,0.35,Negative,835.0,abuse cases,0
0.79,0.0,0.21,Negative,253.0,trudeau,0
0.65,0.0,0.35,Negative,175.0,bbc,0
0.89,0.0,0.11,Negative,317.0,fascists,0
0.2,0.0,0.8,Positive,25.0,iwillvotecom,1
0.76,0.0,0.24,Negative,675.0,governments,0
0.45,0.0,0.55,Positive,772.0,times square,0
0.79,0.0,0.21,Negative,346.0,watergate,0
0.64,0.0,0.36,Negative,871.0,plague outbreak,0
0.87,0.0,0.13,Negative,783.0,anti-vaxxers,1
1.0,0.0,0.0,Negative,1.0,people at world health organisation,0
0.62,0.0,0.38,Negative,8.0,democrat community organiser,0
0.3,0.0,0.7,Positive,339.0,beaches,0
0.41,0.0,0.59,Positive,881.0,despacito,0
0.46,0.0,0.54,Positive,855.0,area 51,0
0.43,0.0,0.57,Positive,840.0,mum,0
0.45,0.0,0.55,Positive,823.0,johnny depp,0
0.48,0.0,0.52,Positive,772.0,cancer,0
0.85,0.0,0.15,Negative,395.0,commies,0
0.27,0.0,0.73,Positive,871.0,masakkali,0
0.52,0.0,0.48,Negative,257.0,ford,0
0.8,0.0,0.2,Negative,423.0,lib dems,0
0.72,0.0,0.28,Negative,372.0,brain damange,0
0.84,0.0,0.16,Negative,427.0,assault weapon,0
0.86,0.0,0.14,Negative,875.0,beijing biden,0
0.39,0.0,0.61,Positive,864.0,safe distance,0
0.28,0.0,0.72,Positive,333.0,halloween party,0
0.85,0.0,0.15,Negative,933.0,hiliary clinton,0
0.49,0.0,0.51,Positive,744.0,livestock,0
0.75,0.0,0.25,Negative,410.0,statism,0
0.87,0.0,0.13,Negative,453.0,repulicants,0
0.41,0.0,0.59,Positive,390.0,martha,0
0.54,0.0,0.46,Negative,685.0,laptop,0
0.86,0.0,0.14,Negative,371.0,white police officers,0
0.49,0.0,0.51,Positive,845.0,lawrence wong,0
0.54,0.0,0.46,Negative,777.0,statue of liberty,0
0.61,0.0,0.39,Negative,370.0,subway,0
0.87,0.0,0.13,Negative,886.0,right wing,0
0.51,0.0,0.49,Negative,755.0,president day,0
0.26,0.0,0.74,Positive,906.0,hambre,0
0.32,0.0,0.68,Positive,811.0,paris,0
0.44,0.0,0.56,Positive,814.0,leonardo dicaprio,0
0.65,0.0,0.35,Negative,937.0,professors,0
0.65,0.0,0.35,Negative,900.0,microchip,0
0.47,0.0,0.53,Positive,903.0,straight-identified,0
0.34,0.0,0.66,Positive,388.0,local business owners,0
0.32,0.0,0.68,Positive,930.0,cardinals,0
0.62,0.0,0.38,Negative,891.0,victoria secret store,0
0.45,0.0,0.55,Positive,777.0,potato,0
0.48,0.0,0.52,Positive,483.0,leonardo decaprio,0
0.43,0.0,0.57,Positive,861.0,crude oil,0
0.36,0.0,0.64,Positive,709.0,pet,0
0.43,0.0,0.57,Positive,947.0,mr. walker,0
0.46,0.0,0.54,Positive,13.0,lei meng yan,0
0.57,0.0,0.43,Negative,299.0,trains,0
0.83,0.0,0.17,Negative,952.0,eduardo rafael cruz,0
0.64,0.0,0.36,Negative,488.0,indegenous people,0
0.63,0.0,0.37,Negative,389.0,public officers,0
0.82,0.0,0.18,Negative,303.0,white supremacy,0
0.55,0.0,0.45,Negative,841.0,coornavirus,1
0.6,0.0,0.4,Negative,814.0,customers,0
0.52,0.0,0.48,Negative,269.0,american history,0
0.81,0.0,0.19,Negative,947.0,obama supporters,0
0.58,0.0,0.42,Negative,487.0,grassroots progressives,0
0.77,0.0,0.23,Negative,419.0,people in positions of power,0
0.55,0.0,0.45,Negative,346.0,indigenous people,0
0.48,0.0,0.52,Positive,814.0,archeologists,0
0.84,0.0,0.16,Negative,459.0,debbie wasserman shultz,0
0.83,0.0,0.17,Negative,376.0,bill c-51,1
0.77,0.0,0.23,Negative,456.0,stephen harper,0
0.84,0.0,0.16,Negative,344.0,donald trump impeachment,0
0.74,0.0,0.26,Negative,316.0,white woman,0
0.55,0.0,0.45,Negative,933.0,lyme disease,0
0.65,0.0,0.35,Negative,20.0,non covid19 meme,1
0.52,0.0,0.48,Negative,269.0,trump covid19 memes,1
0.45,0.0,0.55,Positive,1170.0,telekinesis,0
0.67,0.0,0.33,Negative,925.0,two parties,0
0.65,0.0,0.35,Negative,903.0,asians,0
